"","SiteNo","Elevation","Rainfall","DistanceE"
"1",1,240,1720,37
"2",2,430,2320,43
"3",3,420,2050,48
"4",4,470,1870,49
"5",5,300,1690,52
"6",6,150,1250,59
"7",7,520,2130,73
"8",8,460,2090,75
"9",9,300,1730,76
"10",10,410,2040,77
"11",11,140,1460,86
"12",12,540,1860,97
"13",13,280,1670,100
"14",14,240,1580,103
"15",15,200,1490,104
"16",16,210,1420,114
"17",17,160,900,138
"18",18,270,1250,152
"19",19,320,1170,153
"20",20,230,1170,154
