"","cat","COMMUNE","CODES_116","IDCANT_116","CANT_116","IDDIS","DISTRICT_1","IDPAYS","PAYS","UnemRate_08","RoadLuxKm","PopDensity_2011","PC_Foreign"
"78",79,"Rambrouch",120705,7,"Redange",2,"Diekirch",1,"Luxembourg",3.21,49.1,36.68,23.3166
"79",80,"Reckange/Mess",110210,2,"Esch",1,"Luxembourg",1,"Luxembourg",5.24,48,49.29,34.0944
"80",81,"Redange/Attert",120706,7,"Redange",2,"Diekirch",1,"Luxembourg",2.53,17.6,104.7,20.2526
"81",82,"Reisdorf",120612,6,"Diekirch",2,"Diekirch",1,"Luxembourg",3.2,45.5,80.25,25.312
"82",83,"Schengen",131207,12,"Remich",3,"Grevenmacher",1,"Luxembourg",8.69,48.4,70.28,37.2963
"83",84,"Remich",131206,12,"Remich",3,"Grevenmacher",1,"Luxembourg",2.16,33,629.87,40.2761
"84",85,"Roeser",110211,2,"Esch",1,"Luxembourg",1,"Luxembourg",3.67,8,222.77,34.553
"85",86,"Betzdorf",131101,11,"Grevenmacher",3,"Grevenmacher",1,"Luxembourg",3.59,48.4,70.4,21.1464
"86",87,"Rosport",131007,10,"Echternach",3,"Grevenmacher",1,"Luxembourg",6.5,22.3,737.63,39.7975
"87",88,"Rumelange",110212,2,"Esch",1,"Luxembourg",1,"Luxembourg",3.13,31,45.29,20.8024
"88",89,"Saeul",120707,7,"Redange",2,"Diekirch",1,"Luxembourg",3.31,13.4,405.82,46.9876
"89",90,"Sandweiler",110306,3,"Luxembourg",1,"Luxembourg",1,"Luxembourg",4.61,20.9,592.55,30.2695
"90",91,"Sanem",110213,2,"Esch",1,"Luxembourg",1,"Luxembourg",5.59,33.6,149.86,30.8851
"91",92,"Schieren",120613,6,"Diekirch",2,"Diekirch",1,"Luxembourg",5.16,31.3,143.8,36.7401
"92",93,"Schifflange",110214,2,"Esch",1,"Luxembourg",1,"Luxembourg",7.31,16.9,1157.2,37.189
"93",94,"Schuttrange",110307,3,"Luxembourg",1,"Luxembourg",1,"Luxembourg",3.33,21.1,231.12,48.831
"94",95,"Septfontaines",110110,1,"Capellen",1,"Luxembourg",1,"Luxembourg",7.98,27.7,49.73,33.7366
"95",96,"Stadtbredimus",131208,12,"Remich",3,"Grevenmacher",1,"Luxembourg",3.78,22.1,153,32.1979
"96",97,"Steinfort",110111,1,"Capellen",1,"Luxembourg",1,"Luxembourg",4.04,24,358.22,35.8356
"97",98,"Steinsel",110308,3,"Luxembourg",1,"Luxembourg",1,"Luxembourg",2.73,9.8,216.28,38.4778
"98",99,"Strassen",110309,3,"Luxembourg",1,"Luxembourg",1,"Luxembourg",3.44,12.2,690.85,55.102
"99",100,"Troisvierges",120506,5,"Clervaux",2,"Diekirch",1,"Luxembourg",4.24,61.4,40.8,23.2667
"100",101,"Tuntange",110411,4,"Mersch",1,"Luxembourg",1,"Luxembourg",5.96,72.6,77.1,41.2813
"101",102,"Useldange",120708,7,"Redange",2,"Diekirch",1,"Luxembourg",2.92,28.2,68.04,31.451
"102",103,"Vianden",120803,8,"Vianden",2,"Diekirch",1,"Luxembourg",2.26,37.1,64.26,23.2271
"103",104,"Vichten",120709,7,"Redange",2,"Diekirch",1,"Luxembourg",9.91,50.8,179.01,42.3455
"104",105,"Wahl",120710,7,"Redange",2,"Diekirch",1,"Luxembourg",5.18,30.7,80.59,21.4575
"105",106,"Waldbillig",131008,10,"Echternach",3,"Grevenmacher",1,"Luxembourg",3.8,40.4,41.79,18.4242
"106",107,"Waldbredimus",131209,12,"Remich",3,"Grevenmacher",1,"Luxembourg",4.65,36.3,57.65,24.5156
"107",108,"Walferdange",110310,3,"Luxembourg",1,"Luxembourg",1,"Luxembourg",3.44,15.7,71.68,27.414
"108",109,"Weiler-la-Tour",110311,3,"Luxembourg",1,"Luxembourg",1,"Luxembourg",3.6,8.3,1025.5,47.5138
"109",110,"Weiswampach",120507,5,"Clervaux",2,"Diekirch",1,"Luxembourg",2.43,10.5,113.01,28.253
"110",111,"Wellenstein",131210,12,"Remich",3,"Grevenmacher",1,"Luxembourg",4.83,69.1,38.64,35.4626
"111",112,"Wiltz",120909,9,"Wiltz",2,"Diekirch",1,"Luxembourg",3.88,31.3,199.46,30.6757
"112",113,"Kiischpelt",120912,9,"Wiltz",2,"Diekirch",1,"Luxembourg",9.01,60.6,253.28,45.8011
"113",114,"Wincrange",120508,5,"Clervaux",2,"Diekirch",1,"Luxembourg",4.57,71.1,33.36,21.3644
"114",115,"Winseler",120911,9,"Wiltz",2,"Diekirch",1,"Luxembourg",6.28,60,34.98,31.485
"115",116,"Wormeldange",131108,11,"Grevenmacher",3,"Grevenmacher",1,"Luxembourg",2.21,34.1,143.65,38.3777
